COUNTY,Class,Enrollment,Gender,School Category,Year,County (Centroids)
Tharaka-Nithi  ,Class 3,5735,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Tana River     ,Class 3,3475,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Taita Taveta   ,Class 3,3920,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Siaya          ,Class 3,16409,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Samburu        ,Class 3,3737,Boys,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Nyeri          ,Class 3,6834,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Nyandarua      ,Class 3,8125,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyamira        ,Class 3,8094,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Narok          ,Class 3,16876,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nandi          ,Class 3,14153,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Nakuru         ,Class 3,23593,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nairobi        ,Class 3,10510,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Muranga        ,Class 3,10852,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Mombasa        ,Class 3,3849,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Migori         ,Class 3,18409,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Meru           ,Class 3,19010,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Marsabit       ,Class 3,3635,Boys,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Mandera        ,Class 3,8382,Boys,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Makueni        ,Class 3,16745,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Machakos       ,Class 3,17228,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Lamu           ,Class 3,1550,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Laikipia       ,Class 3,5449,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Kwale          ,Class 3,11158,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Kitui          ,Class 3,22098,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kisumu         ,Class 3,15668,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kisii          ,Class 3,17747,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kirinyaga      ,Class 3,5202,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kilifi         ,Class 3,17293,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kiambu         ,Class 3,13508,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kericho        ,Class 3,12391,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kakamega       ,Class 3,35777,Boys,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kajiado        ,Class 3,7881,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Isiolo         ,Class 3,1935,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Homa Bay       ,Class 3,19198,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Garissa        ,Class 3,4303,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Embu           ,Class 3,6927,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Elgeyo Marakwet,Class 3,6754,Boys,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Busia          ,Class 3,16330,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Bungoma        ,Class 3,32004,Boys,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Bomet          ,Class 3,13376,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Baringo        ,Class 3,8253,Boys,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
West Pokot     ,Class 3,272,Girls,Private School,12/31/2014 12:00:00 AM,"(1.7401062, 35.2438468)       "
West Pokot     ,Class 3,290,Boys,Private School,12/31/2014 12:00:00 AM,"(1.7401062, 35.2438468)       "
Wajir          ,Class 3,517,Boys,Private School,12/31/2014 12:00:00 AM,"(1.8081376, 40.0349856)       "
Vihiga         ,Class 3,730,Boys,Private School,12/31/2014 12:00:00 AM,"(0.0762658, 34.722323)        "
Uasin Gishu    ,Class 3,2136,Boys,Private School,12/31/2014 12:00:00 AM,"(0.5260859, 35.3220117)       "
Turkana        ,Class 3,4081,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4248492, 35.4357585)       "
Trans Nzoia    ,Class 3,2241,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0509548, 34.95742)         "
Tharaka-Nithi  ,Class 3,729,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2070612, 37.8702973)      "
Tana River     ,Class 3,246,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.5263666, 39.4178692)      "
Taita Taveta   ,Class 3,494,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.434734, 38.418602)        "
Siaya          ,Class 3,822,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.0621299, 34.2476417)      "
Samburu        ,Class 3,206,Boys,Private School,12/31/2014 12:00:00 AM,"(1.3168546, 37.1183941)       "
Nyeri          ,Class 3,2126,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3429236, 36.9564781)      "
Nyandarua      ,Class 3,1591,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3220778, 36.4828692)      "
Nyamira        ,Class 3,1660,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6427324, 34.9646596)      "
Narok          ,Class 3,1683,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2547903, 35.5763292)      "
Nandi          ,Class 3,1632,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1866889, 35.1104877)       "
Nakuru         ,Class 3,4964,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4636754, 36.0784791)      "
Nairobi        ,Class 3,20411,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2934135, 36.8681893)      "
Muranga        ,Class 3,1671,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.8095905, 37.0327225)      "
Mombasa        ,Class 3,5200,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.0212562, 39.6508827)      "
Migori         ,Class 3,2801,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.9895368, 34.3633453)      "
Meru           ,Class 3,3830,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1667792, 37.7640371)       "
Marsabit       ,Class 3,774,Boys,Private School,12/31/2014 12:00:00 AM,"(2.9786588, 37.5695361)       "
Mandera        ,Class 3,772,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4364695, 40.7388102)       "
Makueni        ,Class 3,689,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1576841, 37.7882456)      "
Machakos       ,Class 3,1759,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2795123, 37.412676)       "
Lamu           ,Class 3,230,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.0786825, 40.8828607)      "
Laikipia       ,Class 3,1119,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3236041, 36.7717279)       "
Kwale          ,Class 3,1015,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.1831495, 39.1904119)      "
Kitui          ,Class 3,1132,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.4910385, 38.406921)       "
Kisumu         ,Class 3,1946,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.1694587, 34.8352035)      "
Kisii          ,Class 3,3876,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7746038, 34.774723)       "
Kirinyaga      ,Class 3,1975,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5247463, 37.3198681)      "
Kilifi         ,Class 3,2964,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.175732, 39.6866876)       "
Kiambu         ,Class 3,6944,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.0687061, 36.8235643)      "
Kericho        ,Class 3,2992,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2957329, 35.31407)        "
Kakamega       ,Class 3,2942,Boys,Private School,12/31/2014 12:00:00 AM,"(0.4036835, 34.7445112)       "
Kajiado        ,Class 3,3044,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1213836, 36.9088422)      "
Isiolo         ,Class 3,571,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0104431, 38.5421531)       "
Homa Bay       ,Class 3,2633,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5428094, 34.3589969)      "
Garissa        ,Class 3,7584,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
Embu           ,Class 3,1183,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Elgeyo Marakwet,Class 3,765,Boys,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Busia          ,Class 3,1244,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Bungoma        ,Class 3,2691,Boys,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Bomet          ,Class 3,2272,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Baringo        ,Class 3,1060,Boys,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
Bomet          ,Class 4,13414,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Baringo        ,Class 4,9056,Boys,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bungoma        ,Class 4,32192,Boys,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 4,16047,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 4,7058,Boys,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 4,7147,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 4,3873,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 4,19743,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 4,1802,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 4,8576,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 4,35185,Boys,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 4,12510,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 4,14720,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 4,18326,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 4,5704,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 4,18344,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 4,15700,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 4,22695,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 4,11073,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 4,5466,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 4,1718,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 4,18442,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 4,18750,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 4,6995,Boys,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 4,3463,Boys,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 4,18605,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 4,18723,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 4,4109,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 4,12271,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 4,11860,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 4,23995,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 4,14933,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 4,16454,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 4,8815,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 4,8464,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 4,7114,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 4,3404,Boys,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 4,16604,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 4,3973,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 4,3322,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 4,6053,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 4,14354,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 4,10782,Boys,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 4,11192,Boys,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 4,11179,Boys,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 4,4543,Boys,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 4,10950,Boys,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 4,8534,Girls,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 4,12818,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 4,32489,Girls,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 4,16664,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 4,6979,Girls,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 4,6820,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 4,2452,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 4,19112,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 4,1864,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 4,7867,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 4,35821,Girls,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 4,12281,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 4,14090,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 4,18044,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 4,5529,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 4,18333,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 4,15977,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 4,21379,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 4,10925,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 4,5111,Girls,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 4,1555,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 4,16791,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 4,17223,Girls,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 4,3946,Girls,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 4,3340,Girls,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 4,18590,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 4,18503,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 4,4151,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 4,11353,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 4,12265,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 4,23669,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 4,14275,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 4,15603,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 4,8820,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 4,8023,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 4,6817,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 4,2831,Girls,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 4,16549,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 4,3867,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 4,3047,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 4,6181,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 4,14152,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 4,8495,Girls,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 4,10869,Girls,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 4,11350,Girls,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 4,2899,Girls,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 4,10224,Girls,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 4,1145,Boys,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
Bomet          ,Class 4,2333,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Bungoma        ,Class 4,2557,Boys,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Busia          ,Class 4,1188,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Elgeyo Marakwet,Class 4,798,Boys,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Embu           ,Class 4,1205,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Garissa        ,Class 4,4806,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
Homa Bay       ,Class 4,2428,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5428094, 34.3589969)      "
Isiolo         ,Class 4,496,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0104431, 38.5421531)       "
Kajiado        ,Class 4,2916,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1213836, 36.9088422)      "
Kakamega       ,Class 4,2763,Boys,Private School,12/31/2014 12:00:00 AM,"(0.4036835, 34.7445112)       "
Kericho        ,Class 4,3102,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2957329, 35.31407)        "
Kiambu         ,Class 4,6989,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.0687061, 36.8235643)      "
Kilifi         ,Class 4,2873,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.175732, 39.6866876)       "
Kirinyaga      ,Class 4,2018,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5247463, 37.3198681)      "
Kisii          ,Class 4,3639,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7746038, 34.774723)       "
Kisumu         ,Class 4,1764,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.1694587, 34.8352035)      "
Kitui          ,Class 4,1286,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.4910385, 38.406921)       "
Kwale          ,Class 4,944,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.1831495, 39.1904119)      "
Laikipia       ,Class 4,1127,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3236041, 36.7717279)       "
Lamu           ,Class 4,194,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.0786825, 40.8828607)      "
Machakos       ,Class 4,1759,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2795123, 37.412676)       "
Makueni        ,Class 4,841,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1576841, 37.7882456)      "
Mandera        ,Class 4,686,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4364695, 40.7388102)       "
Marsabit       ,Class 4,725,Boys,Private School,12/31/2014 12:00:00 AM,"(2.9786588, 37.5695361)       "
Meru           ,Class 4,3737,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1667792, 37.7640371)       "
Migori         ,Class 4,2732,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.9895368, 34.3633453)      "
Mombasa        ,Class 4,4964,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.0212562, 39.6508827)      "
Muranga        ,Class 4,1677,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.8095905, 37.0327225)      "
Nairobi        ,Class 4,19300,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2934135, 36.8681893)      "
Nakuru         ,Class 4,5010,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4636754, 36.0784791)      "
Nandi          ,Class 4,1704,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1866889, 35.1104877)       "
Narok          ,Class 4,1496,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2547903, 35.5763292)      "
Nyamira        ,Class 4,1563,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6427324, 34.9646596)      "
Nyandarua      ,Class 4,1777,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3220778, 36.4828692)      "
Nyeri          ,Class 4,2111,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3429236, 36.9564781)      "
Samburu        ,Class 4,168,Boys,Private School,12/31/2014 12:00:00 AM,"(1.3168546, 37.1183941)       "
Siaya          ,Class 4,705,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.0621299, 34.2476417)      "
Taita Taveta   ,Class 4,470,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.434734, 38.418602)        "
Tana River     ,Class 4,185,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.5263666, 39.4178692)      "
Tharaka-Nithi  ,Class 4,705,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2070612, 37.8702973)      "
Trans Nzoia    ,Class 4,2315,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0509548, 34.95742)         "
Turkana        ,Class 4,3649,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4248492, 35.4357585)       "
Uasin Gishu    ,Class 4,1941,Boys,Private School,12/31/2014 12:00:00 AM,"(0.5260859, 35.3220117)       "
Vihiga         ,Class 4,632,Boys,Private School,12/31/2014 12:00:00 AM,"(0.0762658, 34.722323)        "
Wajir          ,Class 4,544,Boys,Private School,12/31/2014 12:00:00 AM,"(1.8081376, 40.0349856)       "
West Pokot     ,Class 4,251,Boys,Private School,12/31/2014 12:00:00 AM,"(1.7401062, 35.2438468)       "
Baringo        ,Class 4,1017,Girls,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
Bomet          ,Class 4,2047,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Bungoma        ,Class 4,2717,Girls,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Busia          ,Class 4,1065,Girls,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Elgeyo Marakwet,Class 4,719,Girls,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Embu           ,Class 4,1054,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Garissa        ,Class 4,2681,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
